Price,Close,High,Low,Open,Volume,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2022-01-03,178.10365295410156,178.95499096160628,173.895952516217,174.01337226981713,104487900,,
2022-01-04,175.84323120117188,179.01369889567948,175.2756775127618,178.71035458130368,99310400,,
2022-01-05,171.1658477783203,176.30317175638402,170.8918583606612,175.75519292106577,94537600,,
2022-01-06,168.30848693847656,171.53766438344002,167.95621276391145,168.99346035254746,96904000,,
2022-01-07,168.474853515625,170.40257420223315,167.35932100577125,169.17940193566972,86709100,,
2022-01-10,168.49441528320312,168.79775959259328,164.5606894006289,165.45116232460057,106765600,,
2022-01-11,171.3223876953125,171.4202325096092,167.15382233749222,168.62162893365016,76138300,,
2022-01-12,171.76272583007812,173.37730710526796,171.06797240622825,172.34005950483805,74805200,,
2022-01-13,168.49441528320312,172.82933029006384,168.10299122971512,172.0073621746904,84505800,,
2022-01-14,169.35552978515625,170.0502832024392,167.4180143556812,167.66264878484014,80440800,,
2022-01-18,166.1557159423828,168.83689986985863,165.77408681023036,167.82900716362772,90956700,,
2022-01-19,162.66232299804688,167.40823697043027,162.3785536255594,166.35141442818917,94815000,,
2022-01-20,160.979248046875,166.03828667936338,160.65632878123083,163.3962376065405,91420500,,
2022-01-21,158.92434692382812,162.76021377251277,158.81670715554318,160.89120276470334,122848900,,
2022-01-24,158.15126037597656,158.8166737850042,151.37978119467465,156.58560899416545,162294600,,
2022-01-25,156.3507843017578,159.26682305990172,153.65002507588994,155.56795099632697,115798400,,
2022-01-26,156.26271057128906,160.8618354481178,154.43284958250229,159.99093736491258,108275300,,
2022-01-27,155.80282592773438,160.3236668366123,154.88299779290693,158.96349957568594,121954600,,
2022-01-28,166.67431640625,166.69389133962514,159.3059292425837,162.15347733104576,179935700,,
2022-01-31,171.0288543701172,171.24413390438698,165.8719554140601,166.5080140130585,115541600,166.2158966064453,
2022-02-01,170.86251831054688,171.08757786653237,168.6118779567779,170.27538954650115,86213900,165.85383987426758,
2022-02-02,172.0660858154297,172.105235689561,169.6099612749151,170.9994831805343,84914300,165.66498260498048,
2022-02-03,169.18919372558594,172.4575215973305,168.42593537257994,170.7352853699913,89418100,165.56614990234374,
2022-02-04,168.90504455566406,170.5804825811808,167.22960653014735,168.20939100229583,82465400,165.59597778320312,
2022-02-07,168.18984985351562,170.43355030058285,167.49419611908272,169.36558853604996,77251200,165.58172760009765,
2022-02-08,171.2957305908203,171.80522273077705,167.96445422996524,168.2583925780297,74829200,165.7217933654785,
2022-02-09,172.71646118164062,173.0789767689882,171.36435339049424,172.49111486655937,71285000,165.79149703979493,
2022-02-10,168.6405029296875,171.93257943938036,168.08203354026793,170.6196718007765,90865900,165.6353858947754,
2022-02-11,165.2308807373047,169.5811269216294,164.64300397443432,168.846288443205,98670700,165.47220916748046,
2022-02-14,165.46600341796875,166.1518495458794,163.19289630795137,163.98651932384257,86185500,165.2777328491211,
2022-02-15,169.2969512939453,169.45372039657573,166.80830532856646,167.51375134007887,62527400,165.4347946166992,
2022-02-16,169.06182861328125,169.83585183660028,166.6123672162483,168.3759824121772,61177400,165.75476989746093,
2022-02-17,165.46600341796875,168.43474911832254,165.06428820364812,167.57253401447812,69589300,165.97910766601564,
2022-02-18,163.91796875,167.0924613280084,162.83040723152354,166.3870301609273,82772700,166.22878875732422,
2022-02-22,160.9982147216797,163.3202994694817,158.87206895600934,161.6448612037598,91162800,166.3711364746094,
2022-02-23,156.83412170410156,162.7911986729469,156.52058346872764,162.19352949330056,90009200,166.39530334472656,
2022-02-24,159.45013427734375,159.55791116992768,148.9272434071185,149.49552020889521,141147500,166.5546745300293,
2022-02-25,161.51748657226562,161.78201763247694,157.61793335879435,160.52789462372328,91974200,166.84040756225585,
2022-02-28,161.78204345703125,162.0759818545117,159.1464202451589,159.76368938483503,95056600,166.5957939147949,
2022-03-01,159.90081787109375,163.23209394256236,158.69568719407653,161.37049453342058,83474400,166.03939208984374,
2022-03-02,163.19290161132812,163.97673219026618,159.65587901852524,161.0667710705488,79724800,165.65591125488282,
2022-03-03,162.86956787109375,165.49539801856008,162.20332160924863,165.06429046074288,76678400,165.19608535766602,
2022-03-04,159.8714599609375,162.20335221808782,158.82309815688976,161.16478287844762,83737200,164.7301986694336,
2022-03-07,156.07969665527344,161.68406601052743,155.8249430798264,160.05761991470098,96418800,164.08893127441405,
2022-03-08,154.25729370117188,159.58732445146612,152.65044751471495,155.6094012673305,131148300,163.39230346679688,
2022-03-09,159.65589904785156,160.10660654613918,156.1874681101056,158.2156144765831,91454900,162.81031188964843,
2022-03-10,155.31544494628906,157.14763719865718,152.82678391494153,156.9614757494235,105342000,161.94026107788085,
2022-03-11,151.60206604003906,156.06008893270172,151.37671976951566,155.71715834467904,96970100,161.08833923339844,
2022-03-14,147.57513427734375,151.0043799732345,147.06565710961667,148.38835719355112,108732100,160.2055519104004,
2022-03-15,151.95477294921875,152.42508026860065,147.33999637401098,147.84947354452075,92964300,159.52999038696288,164.14960021972655
2022-03-16,156.3638153076172,156.76553056777536,151.3375306500096,153.8751690879972,102300200,158.8833335876465,163.71480346679687
2022-03-17,157.37298583984375,157.7453087439647,154.44343967423552,155.40362432397723,75615400,158.29889144897462,163.3453985595703
2022-03-18,160.66505432128906,161.1549465596943,156.53036263312293,157.2652009907308,123511700,158.05884399414063,163.13538269042968
2022-03-21,162.03675842285156,162.98715054298916,159.71465909153343,160.20455132045697,95811400,157.96478347778321,163.0099481201172
2022-03-22,165.40728759765625,165.99514954472423,161.5763251987248,162.16418714579277,81532000,158.18523712158202,162.94859680175782
2022-03-23,166.76913452148438,169.15000379737148,164.2608735199057,164.5940116285297,98062700,158.68198776245117,162.91409118652345
2022-03-24,170.5511016845703,170.61967882805246,166.76913277034842,167.60194065734933,90131400,159.2370361328125,162.8986654663086
2022-03-25,171.18795776367188,171.73663471959298,169.25778100424003,170.36494232979024,80546200,159.7205596923828,162.88717010498047
2022-03-28,172.05018615722656,172.17754799227433,168.5229555265403,168.6895171187773,90371900,160.23396682739258,162.95828552246093
2022-03-29,175.34222412109375,175.39120138120336,172.77517880756406,173.11810933027303,100589400,161.00603713989258,163.0780194091797
2022-03-30,174.17628479003906,175.97908457885987,173.12790825883917,174.9405154603071,92633200,161.55520629882812,163.23843078613282
2022-03-31,171.08016967773438,174.4310308254092,170.8744083575564,174.2448693810398,103049300,161.96573638916016,163.40678771972657
2022-04-01,170.78623962402344,171.34472398421482,168.46415506398156,170.5119011506989,78751300,162.51147537231446,163.60292755126954
2022-04-04,174.83274841308594,174.8817406281064,170.9136104166494,171.0409871856376,76468400,163.4491279602051,163.9210955810547
2022-04-05,171.52105712890625,174.695564012496,170.89399570193683,173.9117334912033,73401800,164.31231613159179,164.1884915161133
2022-04-06,168.3563690185547,170.1199840728932,166.69073839236125,168.87565359700926,89058800,164.74733963012696,164.4286032104492
2022-04-07,168.66009521484375,169.85543344405016,166.41639539463952,167.69991063657648,77594700,165.4145721435547,164.6765509033203
2022-04-08,166.6515350341797,168.30737316185164,165.77952746373003,168.30737316185164,76575500,166.16704559326172,164.89352508544923
2022-04-11,162.3992919921875,165.61298417615765,162.1543458504195,165.29946088886413,72246700,166.90825347900392,164.80802459716796
2022-04-12,164.2706298828125,166.43594468915688,163.27124576817297,164.62335280854873,79265200,167.5240463256836,164.67286010742188
2022-04-13,166.9552764892578,167.58233798502656,163.39866884231074,164.00613046155772,70618900,168.05361938476562,164.5947152709961
2022-04-14,161.9485626220703,167.80768430539896,161.70361651341247,167.17081545269417,75329400,168.28239822387695,164.3923648071289
2022-04-18,161.73306274414062,163.23213209405864,160.26338573831293,160.6063014028095,69023900,168.33579864501954,164.2432421875
2022-04-19,164.0159149169922,164.4274375522312,160.59647667199232,161.6840380358106,67723800,168.43475646972655,164.14545959472656
2022-04-20,163.849365234375,165.4660187034269,162.74221886501599,165.34843439183405,67929800,168.3568603515625,164.05864990234375
2022-04-21,163.05575561523438,168.06245565058305,162.5560708382442,165.49542471534926,87227800,168.17119140625,163.89385040283204
2022-04-22,158.5193634033203,164.4764562999452,158.235232412427,163.0949712058386,84882400,167.5696044921875,163.60990844726564
2022-04-25,159.58731079101562,159.87144172970685,155.2566649146805,157.862880430984,96046400,166.98957214355468,163.42884460449218
2022-04-26,153.6302032470703,159.05820246882445,153.55181869779824,158.9700254572649,95623200,166.06857299804688,163.1968310546875
2022-04-27,153.40487670898438,156.55976925790796,152.23893068313222,152.75821530720194,88063200,164.9717056274414,162.9556085205078
2022-04-28,160.33192443847656,161.19413952588084,155.71713316880462,156.0306713643422,130216800,164.27948760986328,162.77630798339842
2022-04-29,154.4630126953125,162.84017274008735,154.0711048951049,158.5683119363977,131747600,163.4486297607422,162.48433166503906
2022-05-02,154.76678466796875,155.0313157503038,150.17159242252777,153.5420538968097,123055300,162.64765701293945,162.27034729003907
2022-05-03,156.2560272216797,157.46117291588328,153.15991957685017,154.95291204808,88966500,161.71882095336915,162.11710845947266
2022-05-04,162.66384887695312,163.11454143572888,156.04049519291306,156.44221048032446,108256500,161.27596054077148,162.15042114257812
2022-05-05,153.60079956054688,160.7630208987196,151.8175848345959,160.53767468016548,130525300,160.5381820678711,162.08575469970702
2022-05-06,154.32691955566406,156.44636712680793,151.2851189689877,153.0807608024048,116124600,159.8215232849121,161.98329040527344
2022-05-09,149.20489501953125,152.90411309612608,148.64560521517865,152.0210026549501,131577900,158.94919128417968,161.73703857421876
2022-05-10,151.60890197753906,153.79704209180267,150.05856639249635,152.5999477156594,115366700,158.40967178344727,161.5335757446289
